data,produto,valor_total_brl
2025-03-01,Gasolina C,4000
2025-03-03,Gasolina C,4323
2025-03-04,Gasolina C,4138
2025-03-05,Gasolina C,4462
2025-03-06,Gasolina C,4277
2025-03-07,Gasolina C,4092
2025-03-08,Gasolina C,4415
2025-03-10,Gasolina C,4231
2025-03-11,Gasolina C,4046
2025-03-12,Gasolina C,4369
2025-03-13,Gasolina C,4185
2025-03-14,Gasolina C,4000
2025-03-15,Gasolina C,4323
2025-03-17,Gasolina C,4138
2025-03-18,Gasolina C,4462
2025-03-19,Gasolina C,4277
2025-03-20,Gasolina C,4092
2025-03-21,Gasolina C,4415
2025-03-22,Gasolina C,4231
2025-03-24,Gasolina C,4046
2025-03-25,Gasolina C,4369
2025-03-26,Gasolina C,4185
2025-03-27,Gasolina C,4000
2025-03-28,Gasolina C,4323
2025-03-29,Gasolina C,4138
2025-03-31,Gasolina C,4463
2025-03-01,Etanol Hid.,1081
2025-03-03,Etanol Hid.,1162
2025-03-04,Etanol Hid.,1115
2025-03-05,Etanol Hid.,1069
2025-03-06,Etanol Hid.,1150
2025-03-07,Etanol Hid.,1104
2025-03-08,Etanol Hid.,1058
2025-03-10,Etanol Hid.,1138
2025-03-11,Etanol Hid.,1092
2025-03-12,Etanol Hid.,1173
2025-03-13,Etanol Hid.,1127
2025-03-14,Etanol Hid.,1081
2025-03-15,Etanol Hid.,1162
2025-03-17,Etanol Hid.,1115
2025-03-18,Etanol Hid.,1069
2025-03-19,Etanol Hid.,1150
2025-03-20,Etanol Hid.,1104
2025-03-21,Etanol Hid.,1058
2025-03-22,Etanol Hid.,1138
2025-03-24,Etanol Hid.,1092
2025-03-25,Etanol Hid.,1173
2025-03-26,Etanol Hid.,1127
2025-03-27,Etanol Hid.,1081
2025-03-28,Etanol Hid.,1162
2025-03-29,Etanol Hid.,1115
2025-03-31,Etanol Hid.,1104
2025-03-01,Diesel S-10,1562
2025-03-03,Diesel S-10,1500
2025-03-04,Diesel S-10,1608
2025-03-05,Diesel S-10,1546
2025-03-06,Diesel S-10,1654
2025-03-07,Diesel S-10,1592
2025-03-08,Diesel S-10,1531
2025-03-10,Diesel S-10,1638
2025-03-11,Diesel S-10,1577
2025-03-12,Diesel S-10,1515
2025-03-13,Diesel S-10,1623
2025-03-14,Diesel S-10,1562
2025-03-15,Diesel S-10,1500
2025-03-17,Diesel S-10,1608
2025-03-18,Diesel S-10,1546
2025-03-19,Diesel S-10,1654
2025-03-20,Diesel S-10,1592
2025-03-21,Diesel S-10,1531
2025-03-22,Diesel S-10,1638
2025-03-24,Diesel S-10,1577
2025-03-25,Diesel S-10,1515
2025-03-26,Diesel S-10,1623
2025-03-27,Diesel S-10,1562
2025-03-28,Diesel S-10,1500
2025-03-29,Diesel S-10,1608
2025-03-31,Diesel S-10,1638
