data,produto,valor_total_brl
2025-03-01,Gasolina Comun,2596
2025-03-03,Gasolina Comun,2785
2025-03-04,Gasolina Comun,2677
2025-03-05,Gasolina Comun,2865
2025-03-06,Gasolina Comun,2758
2025-03-07,Gasolina Comun,2650
2025-03-08,Gasolina Comun,2838
2025-03-10,Gasolina Comun,2731
2025-03-11,Gasolina Comun,2623
2025-03-12,Gasolina Comun,2812
2025-03-13,Gasolina Comun,2704
2025-03-14,Gasolina Comun,2596
2025-03-15,Gasolina Comun,2785
2025-03-17,Gasolina Comun,2677
2025-03-18,Gasolina Comun,2865
2025-03-19,Gasolina Comun,2758
2025-03-20,Gasolina Comun,2650
2025-03-21,Gasolina Comun,2838
2025-03-22,Gasolina Comun,2731
2025-03-24,Gasolina Comun,2623
2025-03-25,Gasolina Comun,2812
2025-03-26,Gasolina Comun,2704
2025-03-27,Gasolina Comun,2596
2025-03-28,Gasolina Comun,2785
2025-03-29,Gasolina Comun,2677
2025-03-31,Gasolina Comun,2864
2025-03-01,Etanol,1415
2025-03-03,Etanol,1523
2025-03-04,Etanol,1462
2025-03-05,Etanol,1400
2025-03-06,Etanol,1508
2025-03-07,Etanol,1446
2025-03-08,Etanol,1385
2025-03-10,Etanol,1492
2025-03-11,Etanol,1431
2025-03-12,Etanol,1538
2025-03-13,Etanol,1477
2025-03-14,Etanol,1415
2025-03-15,Etanol,1523
2025-03-17,Etanol,1462
2025-03-18,Etanol,1400
2025-03-19,Etanol,1508
2025-03-20,Etanol,1446
2025-03-21,Etanol,1385
2025-03-22,Etanol,1492
2025-03-24,Etanol,1431
2025-03-25,Etanol,1538
2025-03-26,Etanol,1477
2025-03-27,Etanol,1415
2025-03-28,Etanol,1523
2025-03-29,Etanol,1462
2025-03-31,Etanol,1446
2025-03-01,Diesel S10 Aditivado,2546
2025-03-03,Diesel S10 Aditivado,2423
2025-03-04,Diesel S10 Aditivado,2638
2025-03-05,Diesel S10 Aditivado,2515
2025-03-06,Diesel S10 Aditivado,2731
2025-03-07,Diesel S10 Aditivado,2608
2025-03-08,Diesel S10 Aditivado,2485
2025-03-10,Diesel S10 Aditivado,2700
2025-03-11,Diesel S10 Aditivado,2577
2025-03-12,Diesel S10 Aditivado,2454
2025-03-13,Diesel S10 Aditivado,2669
2025-03-14,Diesel S10 Aditivado,2546
2025-03-15,Diesel S10 Aditivado,2423
2025-03-17,Diesel S10 Aditivado,2638
2025-03-18,Diesel S10 Aditivado,2515
2025-03-19,Diesel S10 Aditivado,2731
2025-03-20,Diesel S10 Aditivado,2608
2025-03-21,Diesel S10 Aditivado,2485
2025-03-22,Diesel S10 Aditivado,2700
2025-03-24,Diesel S10 Aditivado,2577
2025-03-25,Diesel S10 Aditivado,2454
2025-03-26,Diesel S10 Aditivado,2669
2025-03-27,Diesel S10 Aditivado,2546
2025-03-28,Diesel S10 Aditivado,2423
2025-03-29,Diesel S10 Aditivado,2638
2025-03-31,Diesel S10 Aditivado,2701
